id,practice_test,type,domain,skill,topic,sub_topic,question_number,difficulty,figure_description,image,equation,svg,tabular_data,question_content,answer_explanation,correct_answer,choices
407,pt7,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,"Form, Structure, and Sense",19,Hard,,,,,,"Working from an earlier discovery of Charpentier’s, chemists Emmanuelle Charpentier and Jennifer Doudna— winners of the 2020 Nobel Prize in Chemistry—re-created and then reprogrammed the so-called “genetic scissors” of a species of DNA-cleaving bacteria ______ a tool that is revolutionizing the field of gene technology. Which choice completes the text so that it conforms to the conventions of Standard English? ","Choice A is the best answer. The convention being tested is the use of finite and nonfinite verb forms within a sentence. The nonfinite to-infinitive “to forge” is correctly used to form a nonfinite (infinitive) clause that explains why the chemists re- created and reprogrammed the DNA-cleaving bacteria. Choice B is incorrect. Without a comma separating the main clause (“chemists...bacteria”) from the participle “forging,” this choice illogically suggests that the bacteria are forging a tool, which doesn’t make sense. Choice C is incorrect. Without a coordinating conjunction such as “and” placed before it, the finite past tense verb “forged” can’t be used in this way to describe the chemists’ actions. Choice D is incorrect. If read as a finite verb, the present progressive verb “forging” isn’t consistent with the past tense verbs used in this sentence to describe the actions of the chemists. If read as a nonfinite verb, the participle “forging” can’t be used in this way because there is no following main clause for it to modify.",A,"{'A': 'to forge', 'B': 'forging', 'C': 'forged', 'D': 'and forging'}"
408,pt7,Reading and Writing,"Information and
Ideas",Inferences,"Information and
Ideas",Inferences,20,Medium,,,,,,"Euphorbia esula (leafy spurge) is a Eurasian plant that has become invasive in North America, where it displaces native vegetation and sickens cattle. E. esula can be controlled with chemical herbicides, but that approach can also kill harmless plants nearby. Recent research on introducing engineered DNA into plant species to inhibit their reproduction may offer a path toward exclusively targeting E. esula, consequently ______ Which choice most logically completes the text? ","Choice D is the best answer because it presents the conclusion that most logically follows from the text’s discussion of leafy spurge and engineered DNA. The text establishes that using chemical herbicides to control leafy spurge in North America can also harm other plants nearby. The text then indicates that it might be possible to use engineered DNA to prevent plants from reproducing, which would be useful for “exclusively targeting” leafy spurge. If it’s possible to exclusively target leafy spurge with engineered DNA—meaning that only leafy spurge is affected by the engineered DNA—and prevent the plant from reproducing, then leafy spurge numbers could be reduced “without harming other organisms.” Choice A is incorrect because the text raises the possibility of using engineered DNA to prevent leafy spurge from reproducing, not to make individual leafy spurge plants more vulnerable to chemical herbicides that already exist. Choice B is incorrect because the text doesn’t describe any ecological benefits of leafy spurge in North America; instead, the text is focused on using engineered DNA to prevent leafy spurge from reproducing and thereby reduce its numbers. The only ecological effects of leafy spurge in North America that are described in the text are harmful. Choice C is incorrect because the text describes the possibility of using engineered DNA to prevent leafy spurge from reproducing; it doesn’t offer a way to enable cattle to eat leafy spurge without becoming sick.",D,"{'A': 'making individual E. esula plants more susceptible to existing chemical herbicides.', 'B': 'enhancing the ecological benefits of E. esula in North America.', 'C': 'enabling cattle to consume E. esula\xa0without becoming sick.', 'D': 'reducing invasive E. esula numbers without harming other organisms.'}"
409,pt7,Reading and Writing,"Information and
Ideas",Inferences,"Information and
Ideas",Inferences,21,Hard,,,,,,"In a study of the cognitive abilities of white-faced capuchin monkeys (Cebus imitator), researchers neglected to control for the physical diﬃculty of the tasks they used to evaluate the monkeys. The cognitive abilities of monkeys given problems requiring little dexterity, such as sliding a panel to retrieve food, were judged by the same criteria as were those of monkeys given physically demanding problems, such as unscrewing a bottle and inserting a straw. The results of the study, therefore, ______ Which choice most logically completes the text? differences may not actually exist. identifying tasks that the monkeys can perform. problems encountered in the wild.","Choice A is the best answer because it presents the conclusion that most logically follows from the text’s discussion of the study of capuchin monkeys’ cognitive abilities. The text explains that the study failed to distinguish between outcomes for the tasks performed by the capuchin monkeys, such that simpler tasks requiring less dexterity, or skill, were judged by the same criteria as tasks that demanded more dexterity. Because the study didn’t account for this discrepancy, the researchers might have assumed that observed differences in performance were due to the abilities of the monkeys rather than the complexity of the tasks. In other words, the results may suggest cognitive differences among the monkeys even though such differences may not really exist. Choice B is incorrect because the text focuses on the fact that the tasks assigned to the capuchin monkeys in the study varied in diﬃculty and that the variety wasn’t taken into consideration. The text doesn’t suggest that the capuchin monkeys couldn’t perform certain tasks, just that some tasks were more diﬃcult to do. Choice C is incorrect because the text doesn’t suggest that the study’s results are indicative of the abilities of capuchin monkeys but not of other monkey species; in fact, the text suggests that the results may not even be an accurate reﬂection of capuchin monkeys’ abilities. Choice D is incorrect because the text doesn’t indicate that the researchers compared results for artificial tasks with those for tasks encountered in the wild, although the tasks described in the text—sliding a panel and putting a straw in a bottle—are presumably artificial.",A,"{'A': 'could suggest that there are differences in cognitive ability among the monkeys even though such', 'B': 'are useful for identifying tasks that the monkeys lack the cognitive capacity to perform but not for', 'C': 'should not be taken as indicative of the cognitive abilities of any monkey species other than C. imitator.', 'D': 'reveal more about the monkeys’ cognitive abilities when solving artificial problems than when solving'}"
410,pt7,Reading and Writing,"Information and
Ideas",Inferences,"Information and
Ideas",Inferences,22,Hard,,,,,,"Ratified by more than 90 countries, the Nagoya Protocol is an international agreement ensuring that Indigenous communities are compensated when their agricultural resources and knowledge of wild plants and animals are utilized by agricultural corporations. However, the protocol has shortcomings. For example, it allows corporations to insist that their agreements with communities to conduct research on the commercial uses of the communities’ resources and knowledge remain confidential. Therefore, some Indigenous advocates express concern that the protocol may have the unintended effect of ______ Which choice most logically completes the text? communities. which they have signed agreements. compensation for Indigenous communities. their corporate partners.","Choice C is the best answer because it most logically completes the argument about an unintended effect of the Nagoya Protocol. The text explains that the Nagoya Protocol is an agreement ensuring that Indigenous communities are compensated when their agricultural resources and knowledge are used by corporations. The text then states that the protocol allows corporations to keep their agreements with Indigenous communities confidential, about which some Indigenous advocates express concern. Choice C, when inserted into the blank, gives a good justification for the advocates’ concern: such secrecy could mean that the public is unable to determine whether participating Indigenous communities were properly compensated under these agreements. Choice A is incorrect. The text suggests that because corporations can keep their agreements with Indigenous communities confidential, Indigenous communities, not corporations, might not be compensated fairly. Choice B is incorrect because the text doesn’t suggest that the ability of corporations to keep their agreements with Indigenous communities confidential would place limits on how much research corporations can undertake. Choice D is incorrect because the text doesn’t    indicate that Indigenous communities aim to learn new harvesting methods from their corporate partners. Rather, the text suggests that corporations use the knowledge of Indigenous communities for their research.",C,"{'A': 'diminishing the monetary reward that corporations might derive from their agreements with Indigenous', 'B': 'limiting the research that corporations conduct on the resources of the Indigenous communities with', 'C': 'preventing independent observers from determining whether the agreements guarantee equitable', 'D': 'discouraging Indigenous communities from learning new methods for harvesting plants and animals from'}"
411,pt7,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Expression of Ideas,Rhetorical Synthesis,23,Easy,,,,,,"While researching a topic, a student has taken the following notes: The Seikan Tunnel is a rail tunnel in Japan. It connects the island of Honshu to the island of Hokkaido. It is roughly 33 miles long. The Channel Tunnel is a rail tunnel in Europe. It connects Folkestone, England, to Coquelles, France. It is about 31 miles long. The student wants to compare the lengths of the two rail tunnels. Which choice most effectively uses relevant information from the notes to accomplish this goal? France, are longer than 30 miles. long. Hokkaido. examples of rail tunnels.","Choice B is the best answer. The sentence compares the lengths of the two rail tunnels, noting that the Channel Tunnel (about 31 miles long) is slightly shorter than the Seikan Tunnel (roughly 33 miles long). Choice A is incorrect. The sentence makes a generalization about the length of some rail tunnels; it doesn’t compare the lengths of the two rail tunnels. Choice C is incorrect. The sentence describes a single rail tunnel; it doesn’t compare the lengths of the two rail tunnels. Choice D is incorrect. While the sentence mentions the two rail tunnels, it doesn’t compare their lengths.",B,"{'A': 'Some of the world’s rail tunnels,\xa0including one tunnel that extends from Folkestone, England, to Coquelles,', 'B': 'The Seikan Tunnel is roughly 33 miles long, while the slightly shorter Channel Tunnel is about 31 miles', 'C': 'The Seikan Tunnel, which is roughly 33 miles long, connects the Japanese islands of Honshu and', 'D': 'Both the Seikan Tunnel, which is located in Japan, and the Channel Tunnel, which is located in Europe, are'}"
412,pt7,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Expression of Ideas,Rhetorical Synthesis,24,Medium,,,,,,"While researching a topic, a student has taken the following notes: Severo Ochoa discovered the enzyme PNPase in 1955. PNPase is involved in both the creation and degradation of mRNA. Ochoa incorrectly hypothesized that PNPase provides the genetic blueprints for mRNA. The discovery of PNPase proved critical to deciphering the human genetic code. Deciphering the genetic code has led to a better understanding of how genetic variations affect human health. The student wants to emphasize the significance of Ochoa’s discovery. Which choice most effectively uses relevant information from the notes to accomplish this goal? better understanding of how genetic variations affect human health. mRNA, in 1955. mRNA. hypothesized that the enzyme was the source of mRNA’s genetic blueprints.","Choice A is the best answer. The sentence emphasizes the significance of Ochoa’s discovery, noting that it proved critical to deciphering the human genetic code, which resulted in a better understanding of how genetic variations affect human health. Choice B is incorrect. While the sentence explains what Ochoa discovered, it doesn’t emphasize the significance of the discovery. Choice C is incorrect. While the sentence explains what Ochoa discovered, it doesn’t emphasize the significance of the discovery. Choice D is incorrect. While the sentence mentions that Ochoa’s discovery was crucial, it emphasizes Ochoa’s incorrect hypothesis, not the significance of the discovery.",A,"{'A': 'Ochoa’s 1955 discovery of PNPase proved critical to deciphering the human genetic code, leading to a', 'B': 'Ochoa first discovered PNPase, an enzyme that he hypothesized contained the genetic blueprints for', 'C': 'In 1955, Ochoa discovered the PNPase enzyme, which is involved in both the creation and degradation of', 'D': 'Though his discovery of PNPase was critical to deciphering the human genetic code, Ochoa incorrectly'}"
413,pt7,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Expression of Ideas,Rhetorical Synthesis,25,Medium,,,,,,"While researching a topic, a student has taken the following notes: Just like states have state ﬂags, some cities have city ﬂags. Over one hundred US cities have redesigned their ﬂags since 2015. The city of Pocatello, Idaho, redesigned its ﬂag after it was named the most poorly designed ﬂag in North America. Pocatello’s new ﬂag better represents the city’s mountainous geography and civic priorities. Residents consider the new ﬂag to be a meaningful symbol of civic pride. The student wants to make and support a generalization about the effect of redesigning a city ﬂag. Which choice most effectively uses relevant information from the notes to accomplish this goal? the most poorly designed ﬂag in North America. to better represent the city’s geography and civic priorities. when Pocatello redesigned its original ﬂag to better represent its geography and civic priorities.","Choice D is the best answer. The sentence makes and supports a generalization about the effect of redesigning a city ﬂag, noting that redesigning a city ﬂag can create a meaningful symbol of civic pride, as was the case when the city of Pocatello redesigned its ﬂag. Choice A is incorrect because the sentence explains that many US cities have redesigned their ﬂags and provides an example; it doesn’t make and support a generalization about the effect of redesigning a city ﬂag. Choice B is incorrect because the sentence provides an example of a city that redesigned its ﬂag; it doesn’t make and support a generalization about the effect of redesigning a city ﬂag. Choice C is incorrect because the sentence emphasizes why the ﬂag of Pocatello was redesigned; it doesn’t make and support a generalization about the effect of redesigning a city ﬂag.",D,"{'A': 'Over one hundred US cities have redesigned their ﬂags, including Pocatello, whose ﬂag had been named', 'B': 'Pocatello is just one of over one hundred US cities that have redesigned their ﬂags.', 'C': 'After it was named the most poorly designed ﬂag in North America, the ﬂag of Pocatello was redesigned', 'D': 'Redesigning a poorly designed city ﬂag can create a meaningful symbol of civic pride, as was the case'}"
414,pt7,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Expression of Ideas,Rhetorical Synthesis,26,Hard,,,,,,"While researching a topic, a student has taken the following notes: The Atlantic Monthly magazine was first published in 1857. The magazine focused on politics, art, and literature. In 2019, historian Cathryn Halverson published the book Faraway Women and the “Atlantic Monthly.” Its subject is female authors whose autobiographies appeared in the magazine in the early 1900s. One of the authors discussed is Juanita Harrison. The student wants to introduce Cathryn Halverson’s book to an audience already familiar with the Atlantic Monthly. Which choice most effectively uses relevant information from the notes to accomplish this goal? autobiographies appeared in the magazine in the early 1900s. 1857. 1857 as a magazine focusing on politics, art, and literature. Atlantic Monthly in the early 1900s.","Choice A is the best answer. The sentence effectively introduces Cathryn Halverson’s book to an audience already familiar with the Atlantic Monthly, noting the title of Halverson’s book and describing its content without providing background information about the Atlantic Monthly. Choice B is incorrect. The sentence introduces the Atlantic Monthly and mentions that it’s referred to in Cathryn Halverson’s book title; it doesn’t effectively introduce Halverson’s book. Choice C is incorrect. The sentence assumes that the audience is unfamiliar with the Atlantic Monthly, providing background information about the magazine; it doesn’t effectively introduce Halverson’s book to an audience already familiar with the Atlantic Monthly. Choice D is incorrect. While the sentence assumes that the audience is familiar with the Atlantic Monthly, it doesn’t effectively introduce Cathryn Halverson’s book.",A,"{'A': 'Cathryn Halverson’s Faraway Women and the “Atlantic Monthly”\xa0 discusses female authors whose', 'B': 'A magazine called the Atlantic Monthly, referred to in Cathryn Halverson’s book title, was first published in', 'C': 'Faraway Women and the “Atlantic Monthly”\xa0 features contributors to the Atlantic Monthly, first published in', 'D': 'An author discussed by Cathryn Halverson is Juanita Harrison, whose autobiography appeared in the'}"
415,pt7,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Expression of Ideas,Rhetorical Synthesis,27,Easy,,,,,,"While researching a topic, a student has taken the following notes: Archaeologist Dr. Sada Mire founded the Horn Heritage Foundation to preserve the cultural history of regions in the Horn of Africa. Horn Heritage has overseen a preservation project to create 3D digital scans of ancient rock art in Somaliland. Paintings found at the Laas Geel caves are included in the scans. The Laas Geel paintings feature human figures and animals. Paintings found at the Dhagah Nabi Galay caves are included in the scans. The Dhagah Nabi Galay caves feature what are thought to be the earliest examples of writing in East Africa. The student wants to emphasize a similarity between the Laas Geel paintings and the Dhagah Nabi Galay paintings. Which choice most effectively uses relevant information from the notes to accomplish this goal? Nabi Galay caves in Somaliland. caves feature humans and animals. in Somaliland.","Choice D is the best answer. This choice compares the Laas Geel paintings and the Dhagah Nabi Galay paintings to one another and emphasizes what they have in common: they are both ancient rock art found in the same region. Choice A is incorrect. This choice only mentions the Dhagah Nabi Galay paintings. It doesn’t compare them to the Laas Geel paintings. Choice B is incorrect. This choice doesn’t emphasize a similarity between the two paintings. Instead, it emphasizes a difference: the type of content they depict. Choice C is incorrect. This choice only mentions the Laas Geel paintings. It doesn’t compare them to the Dhagah Nabi Galay paintings.",D,"{'A': 'The earliest examples of writing in East Africa are thought to be featured in the paintings at the Dhagah', 'B': 'The paintings at the Dhagah Nabi Galay caves feature examples of writing, while those at the Laas Geel', 'C': 'In Somaliland, the paintings in the Laas Geel caves feature human figures and animals.', 'D': 'The Laas Geel paintings and the Dhagah Nabi Galay paintings are both examples of ancient rock art found'}"
416,pt7,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Expression of Ideas,Rhetorical Synthesis,28,Medium,,,,,,"While researching a topic, a student has taken the following notes: Roughly 96% of Australia’s estimated 200,000 animal species are invertebrates. Invertebrates of the order Hymenoptera, which consists of sawﬂies, wasps, bees, and ants, are estimated to total 14,800 species in Australia. Invertebrates of the order Coleoptera, which consists of beetles and weevils, are estimated to total 28,200 species in Australia. Some of these invertebrates’ populations are threatened by invasive bird and fish species. The student wants to emphasize the different orders in which Australia’s invertebrate animals are classified. Which choice most effectively uses relevant information from the notes to accomplish this goal? the order Coleoptera. while beetles and weevils belong to the order Coleoptera. invasive bird and fish species.","Choice B is the best answer. The sentence emphasizes the different orders that Australia’s invertebrates belong to, specifying that sawﬂies, wasps, bees, and ants belong to the order Hymenoptera, whereas beetles and weevils belong to the order Coleoptera. Choice A is incorrect. The sentence only mentions one order, Coleoptera; it doesn’t emphasize the different orders that Australia’s invertebrates belong to. Choice C is incorrect. The sentence only mentions one order, Hymenoptera; it doesn’t emphasize the different orders that Australia’s invertebrates belong to. Choice D is incorrect. The sentence only mentions one order, Hymenoptera; it doesn’t emphasize the different orders that Australia’s invertebrates belong to.",B,"{'A': 'In Australia, 28,200 species are estimated to be beetles and weevils, both classified as invertebrates of', 'B': 'Among Australia’s many invertebrates, sawﬂies, wasps, bees, and ants belong to the order Hymenoptera,', 'C': 'Many sawﬂies, wasps, bees, and ants of the order Hymenoptera are threatened by some of Australia’s', 'D': 'The order Hymenoptera is estimated to make up 14,800 of Australia’s 200,000 animal species.'}"
417,pt7,Reading and Writing,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,29,Medium,,,,,,"The following text is adapted from Charles Dickens’s 1854 novel Hard Times. Coketown is a fictional town in England. [Coketown] contained several large streets all very like one another, and many small streets still more like one another, inhabited by people equally like one another, who all went in and out at the same hours, with the same sound upon the same pavements, to do the same work, and to whom every day was the same as yesterday and tomorrow, and every year the counterpart of the last and the next. Which choice best states the main purpose of the text? ","Choice A is the best answer. The author describes Coketown as having streets that are all very similar and residents who live similarly and do the same work. This repetition of similarities emphasizes how everything in Coketown is alike. Choice B is incorrect. While the text mentions that all the residents “do the same work,” it never explains what that work is or why everyone does it. Besides, the idea that they all do the same work is just one of several similarities among the townspeople described in the text. Choice C is incorrect. While the last sentence states that “every day was the same as yesterday and tomorrow, and every year the counterpart of the last and the next,” it never suggests that people actually “lose track of time.” This is also too narrow to be the main idea, since time is just one of many aspects of Coketown that the text describes as always being the same. Choice D is incorrect. The text never mentions whether life is simple in Coketown, and the town sounds as though it’s probably a pretty dull place to live, rather than a pleasant one.",A,"{'A': 'To emphasize the uniformity of both the town and the people who live there', 'B': 'To explain the limited work opportunities available to the town’s residents', 'C': 'To reveal how the predictability of the town makes it easy for people lose track of time', 'D': 'To argue that the simplicity of life in the town makes it a pleasant place to live'}"
418,pt7,Reading and Writing,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,30,Medium,,,,,,"The following text is adapted from Etsu Inagaki Sugimoto’s 1925 memoir A Daughter of the Samurai. As a young woman, Sugimoto moved from feudal Japan to the United States. The standards of my own and my adopted country differed so widely in some ways, and my love for both lands was so sincere, that sometimes I had an odd feeling of standing upon a cloud in space, and gazing with measuring eyes upon two separate worlds. At first I was continually trying to explain, by Japanese standards, all the queer things that came every day before my surprised eyes; for no one seemed to know the origin or significance of even the most familiar customs, nor why they existed and were followed. Which choice best describes the main purpose of the text? she embraces learned as a child she is newly encountering greater than she had expected ","Choice A is the best answer because it most accurately describes the main purpose of the text. The narrator asserts that she loves both her “own” country (Japan) and her “adopted country” (the United States) even though the two countries differ “widely.” She also indicates that, at first, she would try to explain unfamiliar experiences that she had in the United States using the standards ingrained in her from growing up in Japan. Thus, the main purpose of the text is to convey the narrator’s experience of observing and making sense of the differences between two cultures she embraces. Choice B is incorrect because the text makes no reference to possible companions. Although the text does indicate that the narrator sometimes used the cultural framework she acquired growing up in Japan to explain some experiences she’s had, there is no suggestion that this was in service of making friends. And although “no one seemed to know” strongly implies that the narrator has interacted with other people in the United States, there is no indication that these conversations involved her discussing Japanese customs. Choice C is incorrect because nothing in the text suggests that the narrator was   hesitant to ask questions. In fact, the narrator indicates that “no one seemed to know the origin” of various customs, which provides evidence that, rather than being hesitant, she sought information from several people. Choice D is incorrect because the text makes no reference to the physical distance between Japan and the United States. Although the narrator indicates that the two countries differ “widely” and likens them to “two separate worlds,” these descriptions relate to cultural aspects of the countries and the narrator’s feelings about the two countries, not the physical distance between them.",A,"{'A': 'To convey the narrator’s experience of observing and making sense of differences between two cultures', 'B': 'To establish the narrator’s hope of forming connections with new companions by sharing customs she', 'C': 'To reveal the narrator’s recognition that she is hesitant to ask questions about certain aspects of a culture', 'D': 'To emphasize the narrator’s wonder at discovering that the physical distance between two countries is'}"
419,pt7,Reading and Writing,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,31,Hard,,,,,,"Some studies have suggested that posture can inﬂuence cognition, but we should not overstate this phenomenon. A case in point: In a 2014 study, Megan O’Brien and Alaa Ahmed had subjects stand or sit while making risky simulated economic decisions. Standing is more physically unstable and cognitively demanding than sitting; accordingly, O’Brien and Ahmed hypothesized that standing subjects would display more risk aversion during the decision-making tasks than sitting subjects did, since they would want to avoid further feelings of discomfort and complicated risk evaluations. But O’Brien and Ahmed actually found no difference in the groups’ performance. Which choice best states the main purpose of the text? the case of O’Brien and Ahmed’s study. studies of the effects of posture on cognition. O’Brien and Ahmed tried to solve that problem. about the effects of posture on cognition.","Choice D is the best answer because it most accurately describes the main purpose of the text. The text notes that although some studies have suggested that posture may have an effect on cognition, this phenomenon should not be overstated. In other words, the text begins by urging caution and restraint when discussing the effects of posture on cognition, implying that even though some studies have shown posture to affect cognition, we should not assume that posture always affects cognition or does so in a strong way. The text goes on to discuss O’Brien and Ahmed’s study as a ""case in point"" (that is, as an example of the point made previously). According to the text, O’Brien and Ahmed hypothesized that since standing is more cognitively demanding than sitting, standing subjects in their experiment would respond differently to decision-making tasks than sitting subjects would, which would show an effect of posture on cognition. What the researchers actually found, however, was that the standing and sitting subjects performed the same—posture did not affect cognition. By presenting a circumstance in which posture does not appear to affect cognition, the discussion of O’Brien and Ahmed’s study shows why it is important not to overstate the phenomenon. The purpose of the text, therefore, is to discuss O’Brien and Ahmed’s study to illustrate why caution is needed when making claims about posture’s effects on cognition.   Choice A is incorrect because the text discusses O’Brien and Ahmed’s study as an example of why caution is needed when discussing posture’s effects on cognition, not as an example of how research findings related to posture and cognition are often misunderstood. Although the text does warn against misunderstanding the scope of the relationship between posture and cognition that has been reported in some previous studies, O’Brien and Ahmed’s study is not one of those studies, and there is no suggestion that anyone has misunderstood O’Brien and Ahmed’s findings. Choice B is incorrect because the text makes no mention of the methods used in previous studies of the effects of posture on cognition. Although the text does urge caution when discussing posture’s effects on cognition, it does not critique the results of studies that suggested that posture can affect cognition. Instead, the text suggests that such results should not be exaggerated or taken too broadly. Choice C is incorrect because although the text implies that overstating posture’s effects on cognition would be a problem, nothing in the text suggests that O’Brien and Ahmed share that view or that they attempted to solve that problem. O’Brien and Ahmed are presented as hypothesizing that posture would affect cognition in their study, not as trying to resolve the problem the text describes.",D,"{'A': 'It argues that research findings about the effects of posture on cognition are often misunderstood, as in', 'B': 'It presents the study by O’Brien and Ahmed to critique the methods and results reported in previous', 'C': 'It explains a significant problem in the emerging understanding of posture’s effects on cognition and how', 'D': 'It discusses the study by O’Brien and Ahmed to illustrate why caution is needed when making claims'}"
420,pt7,Reading and Writing,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,32,Medium,,,,,,"Horizontal gene transfer occurs when an organism of one species acquires genetic material from an organism of another species through nonreproductive means. The genetic material can then be transferred “vertically” in the second species—that is, through reproductive inheritance. Scientist Atma Ivancevic and her team have hypothesized infection by invertebrate parasites as a mechanism of horizontal gene transfer between vertebrate species: while feeding, a parasite could acquire a gene from one host, then relocate to a host from a different vertebrate species and transfer the gene to it in turn. Which choice best describes the function of the underlined portion in the text as a whole? invertebrates.","Choice D is the best answer. The text defines horizontal gene transfer and then gives one possibility for how it happens in vertebrates (via infection by parasites). The underlined part describes how that mechanism could work. Choice A is incorrect. The underlined portion doesn’t do this.  Parasites are only described as the mechanism that does the transferring, not the species that gives or receives the genes. Choice B is incorrect. The underlined portion doesn’t do this. The text never discusses which genes are more likely to be transferred. Choice C is incorrect. The underlined portion doesn’t do this.  The text never discusses how horizontal gene transfer occurs among invertebrates.",D,"{'A': 'It explains why parasites are less susceptible to horizontal gene transfer than their hosts are.', 'B': 'It clarifies why some genes are more likely to be transferred horizontally than others are.', 'C': 'It contrasts how horizontal gene transfer occurs among vertebrates with how it occurs among', 'D': 'It describes a means by which horizontal gene transfer might occur among vertebrates.'}"
421,pt7,Reading and Writing,Expression of Ideas,Transitions,Expression of Ideas,Transitions,33,Medium,,,,,,"Although those who migrated to California in 1849 dreamed of finding gold nuggets in streambeds, the state’s richest deposits were buried deeply in rock, beyond the reach of individual prospectors. ______ by 1852, many had given up their fortune-hunting dreams and gone to work for one of the large companies capable of managing California’s complex mining operations. Which choice completes the text with the most logical transition? ","Choice C is the best answer. “Consequently” logically signals that the information in this sentence—that many individual gold prospectors gave up their fortune-hunting dreams and became employees of mining companies—is a result or consequence of the previous information about the inaccessibility of the state’s gold deposits. Choice A is incorrect because “furthermore” illogically signals that the information in this sentence merely adds to the previous information about the inaccessibility of the state’s gold deposits. Instead, it’s a result or consequence of that information. Choice B is incorrect because “still” illogically signals that the information in this sentence offers a contrast or exception to the previous information about the inaccessibility of the state’s gold deposits. Instead, it’s a result or consequence of that information. Choice D is incorrect because “next” illogically signals that the information in this sentence is the next step in a process. Instead, it’s a result or consequence of the previous information about the inaccessibility of the state’s gold deposits.",C,"{'A': 'Furthermore,', 'B': 'Still,', 'C': 'Consequently,', 'D': 'Next,'}"
422,pt7,Reading and Writing,Expression of Ideas,Transitions,Expression of Ideas,Transitions,34,Easy,,,,,,"Geoscientists have long considered Hawaii’s Mauna Loa volcano to be Earth’s largest shield volcano by volume, measuring approximately 74,000 cubic kilometers. ______ according to a 2020 study by local geoscientist Michael Garcia, Hawaii’s Pūhāhonu shield volcano is significantly larger, boasting a volume of about 148,000 cubic kilometers. Which choice completes the text with the most logical transition? ","Choice D is the best answer. “However” logically signals that this sentence, which indicates that the Pūhāhonu volcano may be larger than the Mauna Loa volcano, offers a contrast to or refutation of the previous assumption that Mauna Loa is the largest shield volcano. Choice A is incorrect because “secondly” illogically signals that this sentence merely offers an additional or secondary point concerning the previous assumption that Mauna Loa is the largest shield volcano. Instead, the sentence offers a contrast to or refutation of that assumption. Choice B is incorrect because “consequently” illogically signals that this sentence offers a result or consequence of the previous assumption that Mauna Loa is the largest shield volcano. Instead, the sentence offers a contrast to or refutation of that assumption. Choice C is incorrect because “moreover” illogically signals that this sentence merely adds to the previous assumption that Mauna Loa is the largest shield volcano. Instead, the sentence offers a contrast to or refutation of that assumption.",D,"{'A': 'Secondly,', 'B': 'Consequently,', 'C': 'Moreover,', 'D': 'However,'}"
423,pt7,Reading and Writing,Expression of Ideas,Transitions,Expression of Ideas,Transitions,35,Easy,,,,,,"Most conifers (trees belonging to the phylum Coniferophyta) are evergreen. That is, they keep their green leaves or needles year-round. However, not all conifer species are evergreen. Larch trees, ______ lose their needles every fall. Which choice completes the text with the most logical transition? ","Choice A is the best answer. “For instance” logically signals that the information in this sentence—that larch trees lose their needles every fall—is an example supporting the claim in the previous sentence (that not all conifer species keep their leaves or needles year-round). Choice B is incorrect because “nevertheless” illogically signals that the information in this sentence is true in spite of the claim about conifer species in the previous sentence. Instead, it’s an example supporting that claim. Choice C is incorrect because “meanwhile” illogically signals that the information in this sentence is separate from (while occurring simultaneously with) the claim about conifer species in the previous sentence. Instead, it’s an example supporting that claim. Choice D is incorrect because “in addition” illogically signals that the information in this sentence is merely an additional fact related to the claim about conifer species in the previous sentence. Instead, it’s an example supporting that claim.",A,"{'A': 'for instance,', 'B': 'nevertheless,', 'C': 'meanwhile,', 'D': 'in addition,'}"
424,pt7,Reading and Writing,Expression of Ideas,Transitions,Expression of Ideas,Transitions,36,Easy,,,,,,"It has long been thought that humans first crossed a land bridge into the Americas approximately 13,000 years ago. ______ based on radiocarbon dating of samples uncovered in Mexico, a research team recently suggested that humans may have arrived more than 30,000 years ago—much earlier than previously thought. Which choice completes the text with the most logical transition? ","Choice C is the best answer. “However” logically signals that the theory discussed in this sentence—that humans may have arrived in the Americas over 30,000 years ago—contrasts with the previously discussed theory that humans arrived around 13,000 years ago. Choice A is incorrect because “as a result” illogically signals that the theory in this sentence is the result of the theory discussed in the previous sentence. Instead, this theory contrasts with the previous one. Choice B is incorrect because “similarly” illogically signals that the theory in this sentence is similar to the theory discussed in the previous sentence. Instead, this theory contrasts with the previous one. Choice D is incorrect because “in conclusion” illogically signals that the theory in this sentence concludes or summarizes the discussion of the previous theory. Instead, this theory contrasts with the previous one.",C,"{'A': 'As a result,', 'B': 'Similarly,', 'C': 'However,', 'D': 'In conclusion,'}"
